movie_id,title,year,genre,director,lead_actor,imdb_rating,imdb_votes,duration_min,language,industry,source,release_month,release_season,box_office_cr,avg_user_rating,rating_normalized
TM1067,En Azhagu 4,2023,Family|Drama,Raju Murugan,Keerthy Suresh,8.1,1981,112,Tamil,Kollywood,synthetic,7,Monsoon,390.4,8.1,4.0
TM0209,Raja Kaavalan 3,2023,Comedy|Romance,Boopathy Pandian,Premji Amaren,8.0,6239,145,Tamil,Kollywood,synthetic,6,Summer,503.0,8.0,4.0
TM0286,Ezhu En Porinju,2023,Drama,Dharani,Keerthy Suresh,8.0,19707,121,Tamil,Kollywood,synthetic,7,Monsoon,191.6,8.0,4.0
TM0620,Kaatre Vizha 4,2023,Comedy|Drama,Ezhil,Dhruv Vikram,8.0,7854,126,Tamil,Kollywood,synthetic,3,Spring,500.3,8.0,4.0
TM1347,Theru En Kaadhal,2023,Drama|Romance,Rajesh M,Anushka Shetty,8.0,13816,118,Tamil,Kollywood,synthetic,12,Winter,194.2,8.0,4.0
TM0133,Kaatre Vizhi,2023,Drama|Mystery,K.V. Anand,Prakash Raj,7.9,3829,116,Tamil,Kollywood,synthetic,9,Monsoon,503.3,7.9,4.0
TM0154,Nila Nanbargal 4,2023,Action|Sci-Fi,Seenu Ramasamy,Sivakarthikeyan,7.9,38280,113,Tamil,Kollywood,synthetic,12,Winter,582.6,7.9,4.0
TM1492,Yudham En Kaalam,2023,Romance|Drama,Siva,Yogi Babu,7.9,506,134,Tamil,Kollywood,synthetic,7,Monsoon,520.5,7.9,4.0
TM1881,Ettu Paasam,2023,Action|Thriller,Santhosh Narayanan dir,Jayam Ravi,7.7,9563,161,Tamil,Kollywood,synthetic,1,Winter,276.0,7.7,3.8
TM0524,Muyal Porinju 3,2023,Romance|Drama,Boopathy Pandian,Premji Amaren,7.5,1490,128,Tamil,Kollywood,synthetic,2,Winter,529.7,7.5,3.8
TM0835,Aval Neram,2023,Action|Comedy,H. Vinoth,Aditi Balan,7.5,9561,136,Tamil,Kollywood,synthetic,1,Winter,144.8,7.5,3.8
TM0093,Ponniyin Selvan Part 2,2023,Action|Drama|History,Mani Ratnam,Vikram,7.4,30000,152,Tamil,Kollywood,real,4,Summer,176.5,7.4,3.7
TM0099,Jailer,2023,Action|Thriller,Nelson Dilipkumar,Rajinikanth,7.4,72000,168,Tamil,Kollywood,real,6,Summer,420.8,7.4,3.7
TM1552,Kanavu Kathai 2,2023,Family|Drama,Pa. Ranjith,Udhayanidhi Stalin,7.4,2280,116,Tamil,Kollywood,synthetic,1,Winter,332.3,7.4,3.7
TM0083,Leo,2023,Action|Thriller,Lokesh Kanagaraj,Vijay,7.2,55000,164,Tamil,Kollywood,real,7,Monsoon,378.1,7.2,3.6
TM0098,Mark Antony,2023,Action|Sci-Fi,Adhik Ravichandran,Vishal,7.2,14000,152,Tamil,Kollywood,real,1,Winter,97.7,7.2,3.6
TM0601,Mazhai En Nilam,2023,Biography|Drama,Karthik Subbaraj,Suriya,7.2,18837,113,Tamil,Kollywood,synthetic,9,Monsoon,370.4,7.2,3.6
TM1268,Kaatre Sena,2023,Action|Crime|Drama,Mari Selvaraj,Udhayanidhi Stalin,7.2,3186,190,Tamil,Kollywood,synthetic,12,Winter,327.7,7.2,3.6
TM1375,Paadal En Vaasam,2023,Drama,Santhosh P. Jayakumar,Aari,7.2,3631,190,Tamil,Kollywood,synthetic,9,Monsoon,144.6,7.2,3.6
TM0219,Iravil En Porinju,2023,Horror|Mystery,Boopathy Pandian,Jyotika,7.1,7047,160,Tamil,Kollywood,synthetic,9,Monsoon,507.2,7.1,3.6
TM0745,Theru Malai 4,2023,Drama|Mystery,C.V. Kumar,Vikram,7.1,1502,137,Tamil,Kollywood,synthetic,5,Summer,250.7,7.1,3.6
TM0081,Thunivu,2023,Action|Thriller,H. Vinoth,Ajith Kumar,7.0,22000,148,Tamil,Kollywood,real,12,Winter,289.0,7.0,3.5
TM0097,Dhruva Natchathiram,2023,Action|Thriller,Gautham Vasudev Menon,Vikram,7.0,9000,148,Tamil,Kollywood,real,2,Winter,260.7,7.0,3.5
TM0212,Naalu Maram 2,2023,Action|Adventure,Pa. Ranjith,Vikram,7.0,20884,185,Tamil,Kollywood,synthetic,11,Winter,173.9,7.0,3.5
TM1638,Ezhu Vizha 2,2023,Drama|Mystery,Halitha Shameem,Rajinikanth,7.0,2728,125,Tamil,Kollywood,synthetic,5,Summer,505.8,7.0,3.5
TM0426,Aval Aval,2023,Biography|Drama,Halitha Shameem,Vikram,6.9,18387,152,Tamil,Kollywood,synthetic,2,Winter,420.4,6.9,3.4
TM0445,Aval Vizha,2023,Romance|Drama,James Vasanthan,Samantha,6.9,8898,153,Tamil,Kollywood,synthetic,3,Spring,398.6,6.9,3.4
TM0895,Pallandu En Sena,2023,Action|Fantasy,Pandiraj,Prakash Raj,6.9,3943,151,Tamil,Kollywood,synthetic,1,Winter,275.7,6.9,3.4
TM1714,Pagal En Kaavalan,2023,Action|Fantasy,Halitha Shameem,Rahman,6.9,3903,119,Tamil,Kollywood,synthetic,1,Winter,472.3,6.9,3.4
TM0082,Varisu,2023,Action|Drama,Vamshi Paidipally,Vijay,6.8,27000,165,Tamil,Kollywood,real,9,Monsoon,546.0,6.8,3.4
TM0562,Vaai Pakal,2023,Comedy,Atlee,Premji Amaren,6.8,1112,160,Tamil,Kollywood,synthetic,1,Winter,315.6,6.8,3.4
TM1855,Pallandu En Nanbargal,2023,Drama|Sport,Pa. Ranjith,Keerthy Suresh,6.7,10911,167,Tamil,Kollywood,synthetic,8,Monsoon,198.2,6.7,3.4
TM0203,En Thozha,2023,Drama|Sport,Pradeep Ranganathan,Aditi Balan,6.5,3030,134,Tamil,Kollywood,synthetic,3,Spring,483.3,6.5,3.2
TM0606,Iravil Kaadhal 2,2023,Thriller,Lokesh Kanagaraj,Atharvaa,6.5,5564,149,Tamil,Kollywood,synthetic,5,Summer,88.5,6.5,3.2
TM1166,Kaatre Padai 4,2023,Comedy|Drama,Vasanthabalan,Atharvaa,6.5,1929,114,Tamil,Kollywood,synthetic,8,Monsoon,189.3,6.5,3.2
TM0495,Nenjam Anbu 2,2023,Biography|Drama,C.V. Kumar,Kajal Aggarwal,6.4,6261,159,Tamil,Kollywood,synthetic,10,Autumn,112.5,6.4,3.2
TM0744,Kaatre Nilam 4,2023,Drama,Vignesh Shivan,Vijay Sethupathi,6.4,2737,189,Tamil,Kollywood,synthetic,12,Winter,13.5,6.4,3.2
TM1184,Pallandu Maram 3,2023,Comedy|Drama,James Vasanthan,Kamal Haasan,6.3,3641,151,Tamil,Kollywood,synthetic,6,Summer,156.8,6.3,3.2
TM1640,Rani Thozha 4,2023,Drama|Sport,Nelson Dilipkumar,Siddharth,6.3,1800,123,Tamil,Kollywood,synthetic,10,Autumn,50.4,6.3,3.2
TM1416,Oru En Vaanam,2023,Drama|Sport,Santhosh Narayanan dir,Nayanthara,6.2,4187,125,Tamil,Kollywood,synthetic,3,Spring,288.2,6.2,3.1
TM1700,Thoongaavanam En Kaadhal,2023,Drama|Mystery,Mari Selvaraj,Rashmika Mandanna,6.2,922,174,Tamil,Kollywood,synthetic,4,Summer,146.8,6.2,3.1
TM1748,Kaadu Anbu 4,2023,Action|Comedy,Santhosh Narayanan dir,Jiiva,6.2,1742,157,Tamil,Kollywood,synthetic,6,Summer,345.2,6.2,3.1
TM1797,Pallandu En Kaadhal,2023,Drama,Siva,Jayam Ravi,6.2,740,166,Tamil,Kollywood,synthetic,1,Winter,120.6,6.2,3.1
TM1338,Kal En Katha,2023,Action|Crime|Drama,Badri Venkatesh,Arun Vijay,6.0,3676,154,Tamil,Kollywood,synthetic,4,Summer,466.0,6.0,3.0
TM1387,Nadu En Sena,2023,Crime|Thriller,Gautham Vasudev Menon,Atharvaa,6.0,5394,190,Tamil,Kollywood,synthetic,8,Monsoon,185.6,6.0,3.0
TM0323,Un Aasai,2023,Action|Sci-Fi,Linguswamy,Karthi,5.9,2565,128,Tamil,Kollywood,synthetic,3,Spring,290.2,5.9,3.0
TM0855,Moondru En Vaanam,2023,Family|Drama,A.R. Murugadoss,Arya,5.9,1103,141,Tamil,Kollywood,synthetic,1,Winter,40.7,5.9,3.0
TM0993,Naam Kutumbam 4,2023,Action|Comedy,Sakthi Chidambaram,Shane Nigam,5.8,5262,150,Tamil,Kollywood,synthetic,3,Spring,395.3,5.8,2.9
TM1317,Naalu Payanam,2023,Drama|Romance,Vignesh Shivan,Jyotika,5.8,5913,131,Tamil,Kollywood,synthetic,8,Monsoon,291.6,5.8,2.9
TM1846,Kan Azhagu 2,2023,Action|Adventure,Sudha Kongara,Jayam Ravi,5.8,13775,184,Tamil,Kollywood,synthetic,1,Winter,305.5,5.8,2.9
TM0845,Avan En Vaasam,2023,Action|Crime|Drama,Suseenthiran,Kajal Aggarwal,5.6,36204,143,Tamil,Kollywood,synthetic,5,Summer,137.3,5.6,2.8
TM1096,Thoongaavanam Aval 4,2023,Comedy|Drama,Pradeep Ranganathan,Bobby Simha,5.5,10388,158,Tamil,Kollywood,synthetic,2,Winter,294.0,5.5,2.8
TM0935,Puli Sena,2023,Romance|Drama,Prabhu Solomon,Vijay Sethupathi,5.4,8891,164,Tamil,Kollywood,synthetic,2,Winter,85.1,5.4,2.7
TM0673,Ainthu Kaadhal 4,2023,Mystery|Thriller,A.R. Murugadoss,Ajith Kumar,5.3,1245,172,Tamil,Kollywood,synthetic,7,Monsoon,122.5,5.3,2.6
TM0428,Aadal Anbu,2023,Action|Sci-Fi,R.S. Durai Senthilkumar,Aari,5.2,3268,167,Tamil,Kollywood,synthetic,3,Spring,318.3,5.2,2.6
TM0301,En Vaasam,2022,Romance|Drama,Prabhu Solomon,Yogi Babu,9.0,3173,185,Tamil,Kollywood,synthetic,7,Monsoon,547.3,9.0,4.5
TM1643,Vaanam Aasai,2022,Drama|Sport,Sakthi Chidambaram,Dhanush,8.9,10763,135,Tamil,Kollywood,synthetic,3,Spring,172.2,8.9,4.4
TM0003,Vikram,2022,Action|Thriller,Lokesh Kanagaraj,Kamal Haasan,8.4,132000,174,Tamil,Kollywood,real,7,Monsoon,450.3,8.4,4.2
TM0132,Rendu Aasai,2022,Comedy|Family,Mohan Raja,Rashmika Mandanna,8.3,8874,146,Tamil,Kollywood,synthetic,8,Monsoon,122.0,8.3,4.2
TM0231,Aaru En Porattam,2022,Action|Comedy,Karthik Subbaraj,Aari,8.2,2837,120,Tamil,Kollywood,synthetic,11,Winter,496.9,8.2,4.1
TM1900,Un Kutumbam,2022,Crime|Thriller,Lokesh Kanagaraj,Suriya,8.2,500,128,Tamil,Kollywood,synthetic,9,Monsoon,479.9,8.2,4.1
TM0091,Thiruchitrambalam,2022,Drama|Romance,Mithran R Jawahar,Dhanush,8.0,26000,156,Tamil,Kollywood,real,10,Autumn,361.4,8.0,4.0
TM1876,Kaadu Vaanam,2022,Romance|Drama,Linguswamy,Arya,8.0,550,175,Tamil,Kollywood,synthetic,9,Monsoon,554.6,8.0,4.0
TM1099,Vaanam Naal 4,2022,Biography|Drama,K.V. Anand,Vijay Sethupathi,7.8,4369,111,Tamil,Kollywood,synthetic,5,Summer,274.8,7.8,3.9
TM0096,Mahaan,2022,Action|Crime|Drama,Karthik Subbaraj,Vikram,7.7,18000,168,Tamil,Kollywood,real,2,Winter,146.7,7.7,3.8
TM0092,Ponniyin Selvan Part 1,2022,Action|Drama|History,Mani Ratnam,Vikram,7.5,62000,167,Tamil,Kollywood,real,6,Summer,239.6,7.5,3.8
TM0094,PS-1,2022,Action|Drama|History,Mani Ratnam,Chiyaan Vikram,7.5,62000,167,Tamil,Kollywood,real,5,Summer,505.7,7.5,3.8
TM1785,Kal Naal 2,2022,Action|Crime|Drama,Halitha Shameem,Nayanthara,7.5,6176,130,Tamil,Kollywood,synthetic,7,Monsoon,176.1,7.5,3.8
TM0588,Puli Kaalam 4,2022,Action|Comedy,Linguswamy,Jayam Ravi,7.4,3867,167,Tamil,Kollywood,synthetic,4,Summer,358.2,7.4,3.7
TM0080,Valimai,2022,Action|Thriller,H. Vinoth,Ajith Kumar,7.3,33000,167,Tamil,Kollywood,real,6,Summer,367.0,7.3,3.6
TM1449,Ainthu Aasai,2022,Action|Fantasy,Santhosh Narayanan dir,Anushka Shetty,7.3,5204,186,Tamil,Kollywood,synthetic,9,Monsoon,439.0,7.3,3.6
TM1812,Veli En Iravu,2022,Drama|Romance,Vijay Milton,Aari,7.3,764,189,Tamil,Kollywood,synthetic,10,Autumn,365.6,7.3,3.6
TM0892,Vaanam Payanam 2,2022,Horror|Mystery,Gautham Vasudev Menon,Dhanush,7.2,2883,144,Tamil,Kollywood,synthetic,5,Summer,451.0,7.2,3.6
TM0296,Varudam En Porattam,2022,Comedy|Family,Ameer Sultan,Aditi Balan,7.1,26151,126,Tamil,Kollywood,synthetic,4,Summer,180.3,7.1,3.6
TM0352,Kanavu En Pothu,2022,Crime|Drama,Karthik Subbaraj,Suriya,7.1,4836,146,Tamil,Kollywood,synthetic,2,Winter,224.5,7.1,3.6
TM1763,Yudham Kadal,2022,Action|Comedy,Vetrimaaran,Simbu,7.1,1519,145,Tamil,Kollywood,synthetic,5,Summer,569.7,7.1,3.6
TM1893,Aval Vaanam 4,2022,Comedy|Drama,Ezhil,Premji Amaren,7.1,6552,171,Tamil,Kollywood,synthetic,1,Winter,339.9,7.1,3.6
TM0251,Nee Payanam,2022,Drama|Mystery,Atlee,Shane Nigam,7.0,5473,130,Tamil,Kollywood,synthetic,9,Monsoon,59.2,7.0,3.5
TM0454,Puli Naal 3,2022,Horror|Mystery,Magizh Thirumeni,Karthi,6.9,14594,165,Tamil,Kollywood,synthetic,10,Autumn,314.7,6.9,3.4
TM0753,Naadu En Pookkal,2022,Horror|Mystery,Vasanthabalan,Anushka Shetty,6.9,9608,119,Tamil,Kollywood,synthetic,3,Spring,303.1,6.9,3.4
TM1255,Yudham Pakal,2022,Drama|Romance,Samuthirakani,Dhanush,6.9,9165,188,Tamil,Kollywood,synthetic,1,Winter,26.7,6.9,3.4
TM0331,Paarvai Neram,2022,Action|Fantasy,Karthik Subbaraj,Sivakarthikeyan,6.7,6745,161,Tamil,Kollywood,synthetic,12,Winter,293.4,6.7,3.4
TM0569,Mazhai En Nanbargal,2022,Romance|Drama,Gautham Vasudev Menon,Simbu,6.7,1904,189,Tamil,Kollywood,synthetic,6,Summer,391.3,6.7,3.4
TM1068,Nenjam En Pakal,2022,Horror|Thriller,Linguswamy,Prakash Raj,6.7,4586,122,Tamil,Kollywood,synthetic,9,Monsoon,501.6,6.7,3.4
TM1243,Ainthu Vizha,2022,Drama,Suseenthiran,Aari,6.7,12348,116,Tamil,Kollywood,synthetic,7,Monsoon,364.3,6.7,3.4
TM0142,Pathu Padai,2022,Biography|Drama,TJ Gnanavel,Udhayanidhi Stalin,6.6,26131,162,Tamil,Kollywood,synthetic,11,Winter,442.2,6.6,3.3
TM0204,Pagal Pothu,2022,Drama,Halitha Shameem,Sai Pallavi,6.6,10726,126,Tamil,Kollywood,synthetic,7,Monsoon,449.7,6.6,3.3
TM0657,Paadu Kadal 4,2022,Drama,A.R. Murugadoss,Ajith Kumar,6.6,4610,115,Tamil,Kollywood,synthetic,4,Summer,545.2,6.6,3.3
TM0683,Veedu En Porinju,2022,Action|Comedy,Arivazhagan,Premji Amaren,6.6,3380,171,Tamil,Kollywood,synthetic,8,Monsoon,191.2,6.6,3.3
TM0213,Aaru Naal 3,2022,Mystery|Thriller,Seenu Ramasamy,Ajith Kumar,6.5,2383,137,Tamil,Kollywood,synthetic,9,Monsoon,85.8,6.5,3.2
TM0317,Nee En Azhagu,2022,Action|Drama,Dharani,Udhayanidhi Stalin,6.5,1905,182,Tamil,Kollywood,synthetic,10,Autumn,426.2,6.5,3.2
TM0139,Kan Kadal,2022,Drama,Atlee,Atharvaa,6.3,3011,145,Tamil,Kollywood,synthetic,7,Monsoon,430.8,6.3,3.2
TM0782,Sivappu En Thozha,2022,Horror|Thriller,Vijay Milton,Jyotika,6.2,14172,162,Tamil,Kollywood,synthetic,12,Winter,200.1,6.2,3.1
TM1172,Paadal Iravu,2022,Biography|Drama,Vetrimaaran,Vikram,6.2,15469,131,Tamil,Kollywood,synthetic,9,Monsoon,231.2,6.2,3.1
TM1498,Pallandu Vizha 3,2022,Romance|Drama,Thiagarajan Kumararaja,Jai,6.2,6977,155,Tamil,Kollywood,synthetic,9,Monsoon,198.4,6.2,3.1
TM0218,Simha Porattam 3,2022,Mystery|Thriller,Boopathy Pandian,Kajal Aggarwal,6.1,8886,165,Tamil,Kollywood,synthetic,9,Monsoon,490.5,6.1,3.0
TM0375,Ettu Kaadhal 2,2022,Action|Sci-Fi,Samuthirakani,Aari,6.1,867,140,Tamil,Kollywood,synthetic,1,Winter,348.6,6.1,3.0
TM0678,Ainthu En Paasam,2022,Crime|Drama,R.S. Durai Senthilkumar,Trisha,6.1,1971,171,Tamil,Kollywood,synthetic,12,Winter,75.5,6.1,3.0
