movieId,title,genres,actors,rating
24,Powder (1995),Drama|Sci-Fi,"Al Pacino, Brad Pitt, Audrey Hepburn",5.5
25,Leaving Las Vegas (1995),Drama|Romance,Al Pacino,7.9
26,Othello (1995),Drama,"Angelina Jolie, Martin Scorsese, Denzel Washington",6.0
27,Now and Then (1995),Children|Drama,Al Pacino,3.9
28,Persuasion (1995),Drama|Romance,"Robert De Niro, Martin Scorsese, Emma Watson",8.6
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Scarlett Johansson,7.9
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"Tom Hanks, Christopher Nolan, Leonardo DiCaprio",4.7
31,Dangerous Minds (1995),Drama,"Steven Spielberg, Robert De Niro",4.3
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"Robert De Niro, Martin Scorsese, Tom Hanks",8.5
33,Wings of Courage (1995),Adventure|Romance|IMAX,"Angelina Jolie, Steven Spielberg, Robert De Niro",8.3
34,Babe (1995),Children|Drama,Emma Watson,7.3
35,Carrington (1995),Drama|Romance,Martin Scorsese,6.8
36,Dead Man Walking (1995),Crime|Drama,Tom Hanks,7.9
37,Across the Sea of Time (1995),Documentary|IMAX,Al Pacino,7.7
38,It Takes Two (1995),Children|Comedy,"Tom Cruise, Morgan Freeman",7.2
39,Clueless (1995),Comedy|Romance,"Tom Cruise, Emma Watson",5.1
40,"Cry, the Beloved Country (1995)",Drama,"Emma Watson, Audrey Hepburn",4.7
41,Richard III (1995),Drama|War,"Tom Hanks, Al Pacino, Audrey Hepburn",6.7
42,Dead Presidents (1995),Action|Crime|Drama,"Meryl Streep, Martin Scorsese, Robert De Niro",3.4
43,Restoration (1995),Drama,Emma Watson,4.9
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Robert De Niro,9.7
45,To Die For (1995),Comedy|Drama|Thriller,"Morgan Freeman, Jack Nicholson",7.9
46,How to Make an American Quilt (1995),Drama|Romance,Audrey Hepburn,9.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"Angelina Jolie, Martin Scorsese, Meryl Streep",3.1
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"Leonardo DiCaprio, Audrey Hepburn, Robert De Niro",5.3
49,When Night Is Falling (1995),Drama|Romance,Tom Hanks,9.2
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Jack Nicholson,5.4
51,Guardian Angel (1994),Action|Drama|Thriller,"Steven Spielberg, Tom Cruise",3.0
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Al Pacino,8.9
53,Lamerica (1994),Adventure|Drama,Robert De Niro,4.0
54,"Big Green, The (1995)",Children|Comedy,"Martin Scorsese, Denzel Washington",9.5
55,Georgia (1995),Drama,"Meryl Streep, Brad Pitt, Emma Watson",8.4
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,"Robert De Niro, Scarlett Johansson",3.4
57,Home for the Holidays (1995),Drama,"Al Pacino, Audrey Hepburn",5.4
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Denzel Washington,9.8
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,"Emma Watson, Christopher Nolan",5.4
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Meryl Streep, Scarlett Johansson, Tom Hanks",7.7
61,Eye for an Eye (1996),Drama|Thriller,"Robert De Niro, Angelina Jolie, Audrey Hepburn",9.6
62,Mr. Holland's Opus (1995),Drama,Tom Hanks,4.4
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"Leonardo DiCaprio, Jack Nicholson, Robert De Niro",6.6
64,Two if by Sea (1996),Comedy|Romance,Martin Scorsese,3.6
65,Bio-Dome (1996),Comedy,"Scarlett Johansson, Leonardo DiCaprio",4.2
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Leonardo DiCaprio,8.5
67,Two Bits (1995),Drama,"Tom Cruise, Clint Eastwood",3.9
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Robert De Niro,9.2
69,Friday (1995),Comedy,"Morgan Freeman, Angelina Jolie",9.2
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Johnny Depp,4.4
71,Fair Game (1995),Action,"Jack Nicholson, Robert De Niro, Martin Scorsese",3.4
72,Kicking and Screaming (1995),Comedy|Drama,"Tom Cruise, Johnny Depp",4.5
73,"Misérables, Les (1995)",Drama|War,"Audrey Hepburn, Scarlett Johansson, Martin Scorsese",9.6
74,Bed of Roses (1996),Drama|Romance,"Al Pacino, Steven Spielberg, Jack Nicholson",5.3
75,Big Bully (1996),Comedy|Drama,"Morgan Freeman, Jack Nicholson",6.7
76,Screamers (1995),Action|Sci-Fi|Thriller,"Tom Cruise, Christopher Nolan",9.1
77,Nico Icon (1995),Documentary,"Jennifer Lawrence, Tom Cruise",8.9
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Meryl Streep,6.2
79,"Juror, The (1996)",Drama|Thriller,Morgan Freeman,4.3
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"Jack Nicholson, Audrey Hepburn",5.1
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,"Scarlett Johansson, Martin Scorsese, Steven Spielberg",5.0
82,Antonia's Line (Antonia) (1995),Comedy|Drama,"Emma Watson, Jack Nicholson",9.1
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,"Audrey Hepburn, Meryl Streep",5.2
84,Last Summer in the Hamptons (1995),Comedy|Drama,Al Pacino,3.6
85,Angels and Insects (1995),Drama|Romance,"Denzel Washington, Tom Cruise",7.9
86,White Squall (1996),Action|Adventure|Drama,Al Pacino,9.9
87,Dunston Checks In (1996),Children|Comedy,"Audrey Hepburn, Tom Cruise",9.8
88,Black Sheep (1996),Comedy,"Christopher Nolan, Jack Nicholson, Tom Hanks",4.1
89,Nick of Time (1995),Action|Thriller,Christopher Nolan,6.5
90,The Journey of August King (1995),Drama,"Meryl Streep, Martin Scorsese, Denzel Washington",7.5
92,Mary Reilly (1996),Drama|Horror|Thriller,"Clint Eastwood, Denzel Washington, Morgan Freeman",3.3
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,"Jennifer Lawrence, Brad Pitt, Denzel Washington",9.0
94,Beautiful Girls (1996),Comedy|Drama|Romance,Jack Nicholson,4.9
95,Broken Arrow (1996),Action|Adventure|Thriller,"Steven Spielberg, Angelina Jolie, Johnny Depp",5.3
96,In the Bleak Midwinter (1995),Comedy|Drama,"Johnny Depp, Brad Pitt",9.9
97,"Hate (Haine, La) (1995)",Crime|Drama,"Brad Pitt, Denzel Washington, Steven Spielberg",7.8
98,Shopping (1994),Action|Thriller,Al Pacino,9.2
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Brad Pitt,5.4
100,City Hall (1996),Drama|Thriller,Denzel Washington,8.8
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Brad Pitt,9.7
102,Mr. Wrong (1996),Comedy,"Leonardo DiCaprio, Denzel Washington",9.1
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Morgan Freeman,6.9
104,Happy Gilmore (1996),Comedy,Brad Pitt,10.0
105,"Bridges of Madison County, The (1995)",Drama|Romance,Tom Cruise,9.7
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,"Denzel Washington, Audrey Hepburn, Jennifer Lawrence",4.0
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,"Tom Hanks, Tom Cruise, Morgan Freeman",4.6
108,Catwalk (1996),Documentary,"Al Pacino, Johnny Depp",7.0
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,Meryl Streep,6.8
110,Braveheart (1995),Action|Drama|War,"Emma Watson, Jennifer Lawrence",9.1
111,Taxi Driver (1976),Crime|Drama|Thriller,"Scarlett Johansson, Tom Hanks",4.9
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,"Tom Cruise, Steven Spielberg",9.6
113,Before and After (1996),Drama|Mystery,"Emma Watson, Leonardo DiCaprio",4.8
114,Margaret's Museum (1995),Drama,Robert De Niro,3.1
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,"Johnny Depp, Meryl Streep",6.7
116,Anne Frank Remembered (1995),Documentary,"Al Pacino, Johnny Depp",7.9
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"Meryl Streep, Martin Scorsese, Audrey Hepburn",9.4
118,If Lucy Fell (1996),Comedy|Romance,"Johnny Depp, Jack Nicholson",7.3
119,"Steal Big, Steal Little (1995)",Comedy,Al Pacino,3.6
120,Race the Sun (1996),Adventure|Comedy|Drama,"Leonardo DiCaprio, Morgan Freeman, Audrey Hepburn",3.6
121,"Boys of St. Vincent, The (1992)",Drama,Martin Scorsese,6.3
122,Boomerang (1992),Comedy|Romance,"Leonardo DiCaprio, Tom Cruise, Brad Pitt",7.8
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,"Clint Eastwood, Al Pacino, Johnny Depp",3.2
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,Steven Spielberg,6.5
125,Flirting With Disaster (1996),Comedy,"Emma Watson, Steven Spielberg",4.9
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,"Jack Nicholson, Scarlett Johansson, Martin Scorsese",8.8
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,Scarlett Johansson,5.2
128,Jupiter's Wife (1994),Documentary,Meryl Streep,9.9
129,Pie in the Sky (1996),Comedy|Romance,"Scarlett Johansson, Tom Hanks, Johnny Depp",8.3
130,Angela (1995),Drama,"Angelina Jolie, Robert De Niro",7.0
131,Frankie Starlight (1995),Drama|Romance,"Morgan Freeman, Angelina Jolie, Al Pacino",6.5
132,Jade (1995),Thriller,Tom Cruise,9.5
133,Nueba Yol (1995),Comedy|Drama,"Johnny Depp, Martin Scorsese",9.8
134,Sonic Outlaws (1995),Documentary,"Audrey Hepburn, Tom Hanks",5.5
135,Down Periscope (1996),Comedy,"Jennifer Lawrence, Robert De Niro",7.7
136,From the Journals of Jean Seberg (1995),Documentary,"Angelina Jolie, Leonardo DiCaprio, Tom Cruise",3.1
137,Man of the Year (1995),Documentary,"Denzel Washington, Tom Cruise, Emma Watson",6.3
138,"Neon Bible, The (1995)",Drama,Tom Cruise,4.6
139,Target (1995),Action|Drama,Emma Watson,6.3
140,Up Close and Personal (1996),Drama|Romance,"Martin Scorsese, Brad Pitt, Christopher Nolan",5.1
141,"Birdcage, The (1996)",Comedy,Meryl Streep,5.9
142,Shadows (Cienie) (1988),Drama,"Tom Cruise, Audrey Hepburn",5.2
143,Gospa (1995),Drama,Morgan Freeman,8.6
144,"Brothers McMullen, The (1995)",Comedy,Scarlett Johansson,5.3
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,"Al Pacino, Meryl Streep",5.9
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,"Scarlett Johansson, Martin Scorsese, Audrey Hepburn",7.4
147,"Basketball Diaries, The (1995)",Drama,"Al Pacino, Leonardo DiCaprio, Steven Spielberg",9.3
148,"Awfully Big Adventure, An (1995)",Drama,"Christopher Nolan, Morgan Freeman",5.6
149,Amateur (1994),Crime|Drama|Thriller,"Al Pacino, Steven Spielberg",5.7
150,Apollo 13 (1995),Adventure|Drama|IMAX,"Meryl Streep, Leonardo DiCaprio, Steven Spielberg",4.6
151,Rob Roy (1995),Action|Drama|Romance|War,"Jennifer Lawrence, Meryl Streep",3.6
152,"Addiction, The (1995)",Drama|Horror,"Denzel Washington, Emma Watson",4.7
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Emma Watson,3.1
154,Beauty of the Day (Belle de jour) (1967),Drama,"Christopher Nolan, Brad Pitt",3.4
155,Beyond Rangoon (1995),Adventure|Drama|War,"Tom Hanks, Denzel Washington, Al Pacino",8.5
156,Blue in the Face (1995),Comedy|Drama,"Leonardo DiCaprio, Angelina Jolie, Jack Nicholson",4.2
157,Canadian Bacon (1995),Comedy|War,"Clint Eastwood, Tom Hanks",9.5
158,Casper (1995),Adventure|Children,"Brad Pitt, Jack Nicholson",4.1
159,Clockers (1995),Crime|Drama|Mystery,"Martin Scorsese, Scarlett Johansson, Jack Nicholson",4.6
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,"Al Pacino, Denzel Washington, Clint Eastwood",9.6
161,Crimson Tide (1995),Drama|Thriller|War,"Leonardo DiCaprio, Meryl Streep, Christopher Nolan",5.1
162,Crumb (1994),Documentary,Emma Watson,4.6
163,Desperado (1995),Action|Romance|Western,"Steven Spielberg, Clint Eastwood",9.1
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,"Angelina Jolie, Scarlett Johansson",5.7
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Martin Scorsese,4.5
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"Emma Watson, Tom Hanks, Jennifer Lawrence",8.4
167,Feast of July (1995),Drama,"Christopher Nolan, Johnny Depp, Steven Spielberg",4.8
168,First Knight (1995),Action|Drama|Romance,"Brad Pitt, Johnny Depp",6.9
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,"Morgan Freeman, Christopher Nolan",8.1
170,Hackers (1995),Action|Adventure|Crime|Thriller,"Christopher Nolan, Steven Spielberg",8.4
171,Jeffrey (1995),Comedy|Drama,"Brad Pitt, Emma Watson",7.6
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,"Martin Scorsese, Leonardo DiCaprio",9.5
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Steven Spielberg,7.9
174,Jury Duty (1995),Comedy,"Brad Pitt, Clint Eastwood",6.5
175,Kids (1995),Drama,Brad Pitt,5.0
176,Living in Oblivion (1995),Comedy,"Meryl Streep, Leonardo DiCaprio",3.1
177,Lord of Illusions (1995),Horror,"Leonardo DiCaprio, Jennifer Lawrence, Scarlett Johansson",5.1
178,Love & Human Remains (1993),Comedy|Drama,"Steven Spielberg, Scarlett Johansson, Leonardo DiCaprio",9.2
179,Mad Love (1995),Drama|Romance,"Brad Pitt, Meryl Streep, Tom Cruise",6.3
180,Mallrats (1995),Comedy|Romance,Jack Nicholson,4.6
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,"Meryl Streep, Scarlett Johansson, Martin Scorsese",4.9
182,Moonlight and Valentino (1995),Drama|Romance,"Angelina Jolie, Jennifer Lawrence",9.4
183,Mute Witness (1994),Comedy|Horror|Thriller,"Meryl Streep, Robert De Niro, Leonardo DiCaprio",9.2
184,Nadja (1994),Drama,"Robert De Niro, Christopher Nolan, Tom Hanks",6.1
185,"Net, The (1995)",Action|Crime|Thriller,"Clint Eastwood, Al Pacino, Emma Watson",8.8
186,Nine Months (1995),Comedy|Romance,Angelina Jolie,6.3
187,Party Girl (1995),Comedy,Tom Hanks,4.8
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,"Christopher Nolan, Morgan Freeman",8.9
189,Reckless (1995),Comedy|Fantasy,"Audrey Hepburn, Johnny Depp",3.7
190,Safe (1995),Thriller,Robert De Niro,7.9
191,"Scarlet Letter, The (1995)",Drama|Romance,"Robert De Niro, Angelina Jolie",4.6
192,The Show (1995),Documentary,"Leonardo DiCaprio, Martin Scorsese, Steven Spielberg",9.8
193,Showgirls (1995),Drama,"Tom Hanks, Al Pacino",8.1
194,Smoke (1995),Comedy|Drama,Audrey Hepburn,7.5
195,Something to Talk About (1995),Comedy|Drama|Romance,Johnny Depp,3.3
196,Species (1995),Horror|Sci-Fi,Audrey Hepburn,7.3
197,"Stars Fell on Henrietta, The (1995)",Drama,Denzel Washington,9.7
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Emma Watson,4.4
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,"Al Pacino, Morgan Freeman, Robert De Niro",3.5
200,"Tie That Binds, The (1995)",Thriller,Tom Hanks,8.8
201,Three Wishes (1995),Drama|Fantasy,"Tom Hanks, Audrey Hepburn",5.8
202,Total Eclipse (1995),Drama|Romance,Al Pacino,5.9
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"Morgan Freeman, Angelina Jolie",9.6
204,Under Siege 2: Dark Territory (1995),Action,"Martin Scorsese, Meryl Streep, Leonardo DiCaprio",4.4
205,Unstrung Heroes (1995),Comedy|Drama,"Angelina Jolie, Clint Eastwood, Al Pacino",8.9
206,Unzipped (1995),Documentary,Johnny Depp,6.3
207,"Walk in the Clouds, A (1995)",Drama|Romance,"Emma Watson, Tom Hanks",5.5
208,Waterworld (1995),Action|Adventure|Sci-Fi,"Audrey Hepburn, Jack Nicholson",8.3
209,White Man's Burden (1995),Drama,"Al Pacino, Angelina Jolie",5.5
210,Wild Bill (1995),Western,Al Pacino,9.0
211,"Browning Version, The (1994)",Drama,"Leonardo DiCaprio, Meryl Streep, Scarlett Johansson",6.3
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Brad Pitt,4.7
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Steven Spielberg,3.1
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Tom Hanks,6.4
215,Before Sunrise (1995),Drama|Romance,"Clint Eastwood, Al Pacino, Johnny Depp",3.8
216,Billy Madison (1995),Comedy,"Martin Scorsese, Scarlett Johansson",8.5
217,"Babysitter, The (1995)",Drama|Thriller,"Clint Eastwood, Johnny Depp",8.0
218,Boys on the Side (1995),Comedy|Drama,Jennifer Lawrence,9.0
219,"Cure, The (1995)",Drama,Morgan Freeman,9.3
220,Castle Freak (1995),Horror,"Tom Hanks, Morgan Freeman",6.1
222,Circle of Friends (1995),Drama|Romance,"Steven Spielberg, Martin Scorsese",7.5
223,Clerks (1994),Comedy,"Denzel Washington, Steven Spielberg, Jack Nicholson",8.1
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Al Pacino,10.0
225,Disclosure (1994),Drama|Thriller,"Jack Nicholson, Steven Spielberg",9.6
226,Dream Man (1995),Thriller,"Scarlett Johansson, Leonardo DiCaprio",3.5
227,Drop Zone (1994),Action|Thriller,"Martin Scorsese, Audrey Hepburn, Christopher Nolan",5.3
228,Destiny Turns on the Radio (1995),Comedy,"Tom Hanks, Jennifer Lawrence, Leonardo DiCaprio",7.5
229,Death and the Maiden (1994),Drama|Thriller,"Johnny Depp, Brad Pitt",7.7
230,Dolores Claiborne (1995),Drama|Thriller,"Martin Scorsese, Angelina Jolie, Steven Spielberg",4.9
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Christopher Nolan,7.5
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,"Leonardo DiCaprio, Martin Scorsese",4.4
233,Exotica (1994),Drama,"Martin Scorsese, Meryl Streep, Morgan Freeman",4.9
234,Exit to Eden (1994),Comedy,"Martin Scorsese, Tom Cruise, Steven Spielberg",9.5
235,Ed Wood (1994),Comedy|Drama,"Audrey Hepburn, Christopher Nolan",9.3
236,French Kiss (1995),Action|Comedy|Romance,Scarlett Johansson,3.4
237,Forget Paris (1995),Comedy|Romance,Brad Pitt,10.0
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,"Al Pacino, Denzel Washington, Morgan Freeman",4.0
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,"Tom Cruise, Martin Scorsese, Angelina Jolie",9.2
240,Hideaway (1995),Thriller,"Brad Pitt, Audrey Hepburn",3.2
241,Fluke (1995),Children|Drama,"Scarlett Johansson, Angelina Jolie, Clint Eastwood",6.7
242,Farinelli: il castrato (1994),Drama|Musical,"Angelina Jolie, Robert De Niro, Al Pacino",6.4
243,Gordy (1995),Children|Comedy|Fantasy,"Leonardo DiCaprio, Denzel Washington",8.9
244,Gumby: The Movie (1995),Animation|Children,"Clint Eastwood, Morgan Freeman, Robert De Niro",4.1
245,The Glass Shield (1994),Crime|Drama,"Jennifer Lawrence, Tom Hanks",4.2
246,Hoop Dreams (1994),Documentary,Meryl Streep,4.3
247,Heavenly Creatures (1994),Crime|Drama,"Scarlett Johansson, Meryl Streep",5.0
248,Houseguest (1994),Comedy,"Brad Pitt, Johnny Depp, Martin Scorsese",5.4
249,Immortal Beloved (1994),Drama|Romance,Tom Cruise,6.8
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Martin Scorsese,7.9
251,"Hunted, The (1995)",Action,"Emma Watson, Clint Eastwood",8.3
252,I.Q. (1994),Comedy|Romance,"Al Pacino, Robert De Niro",7.5
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,"Jennifer Lawrence, Tom Hanks, Clint Eastwood",8.7
254,Jefferson in Paris (1995),Drama,"Robert De Niro, Clint Eastwood, Emma Watson",9.0
255,"Jerky Boys, The (1995)",Comedy,"Jack Nicholson, Steven Spielberg",5.7
256,Junior (1994),Comedy|Sci-Fi,Christopher Nolan,4.7
257,Just Cause (1995),Mystery|Thriller,Jack Nicholson,6.6
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,"Christopher Nolan, Steven Spielberg, Al Pacino",9.6
259,Kiss of Death (1995),Crime|Drama|Thriller,"Steven Spielberg, Robert De Niro, Al Pacino",4.9
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,Christopher Nolan,8.5
261,Little Women (1994),Drama,"Scarlett Johansson, Angelina Jolie, Leonardo DiCaprio",4.6
262,"Little Princess, A (1995)",Children|Drama,Brad Pitt,5.1
263,Ladybird Ladybird (1994),Drama,Martin Scorsese,3.0
264,"Enfer, L' (1994)",Drama,Al Pacino,8.4
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Audrey Hepburn,3.5
266,Legends of the Fall (1994),Drama|Romance|War|Western,"Tom Hanks, Clint Eastwood",9.2
267,Major Payne (1995),Comedy,"Tom Hanks, Leonardo DiCaprio",7.3
268,Little Odessa (1994),Crime|Drama,"Denzel Washington, Johnny Depp, Morgan Freeman",10.0
269,My Crazy Life (Mi vida loca) (1993),Drama,"Al Pacino, Angelina Jolie, Jennifer Lawrence",3.2
270,Love Affair (1994),Drama|Romance,Scarlett Johansson,6.2
271,Losing Isaiah (1995),Drama,Tom Cruise,7.7
272,"Madness of King George, The (1994)",Comedy|Drama,Emma Watson,3.5
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Jennifer Lawrence,9.1
274,Man of the House (1995),Comedy,"Jennifer Lawrence, Clint Eastwood",3.2
275,Mixed Nuts (1994),Comedy,"Christopher Nolan, Tom Hanks, Martin Scorsese",9.7
276,Milk Money (1994),Comedy|Romance,"Emma Watson, Christopher Nolan",7.4
277,Miracle on 34th Street (1994),Drama,"Tom Cruise, Denzel Washington",7.2
278,Miami Rhapsody (1995),Comedy,Angelina Jolie,9.8
279,My Family (1995),Drama,"Audrey Hepburn, Brad Pitt, Emma Watson",4.2
280,Murder in the First (1995),Drama|Thriller,"Emma Watson, Martin Scorsese",9.7
281,Nobody's Fool (1994),Comedy|Drama|Romance,Johnny Depp,4.9
282,Nell (1994),Drama,"Emma Watson, Christopher Nolan, Angelina Jolie",9.9
283,New Jersey Drive (1995),Crime|Drama,Robert De Niro,3.7
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,"Tom Hanks, Christopher Nolan",8.0
285,Beyond Bedlam (1993),Drama|Horror,"Jack Nicholson, Christopher Nolan, Morgan Freeman",3.2
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,"Scarlett Johansson, Brad Pitt, Steven Spielberg",3.7
287,Nina Takes a Lover (1994),Comedy|Romance,"Morgan Freeman, Scarlett Johansson, Denzel Washington",7.7
288,Natural Born Killers (1994),Action|Crime|Thriller,"Emma Watson, Morgan Freeman",9.2
289,Only You (1994),Comedy|Romance,Tom Hanks,4.4
290,Once Were Warriors (1994),Crime|Drama,Steven Spielberg,9.8
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,"Brad Pitt, Scarlett Johansson, Emma Watson",7.9
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,"Morgan Freeman, Christopher Nolan, Angelina Jolie",5.6
294,"Perez Family, The (1995)",Comedy|Romance,"Tom Hanks, Scarlett Johansson, Meryl Streep",8.8
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,Emma Watson,7.6
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,"Scarlett Johansson, Emma Watson, Angelina Jolie",4.4
297,Panther (1995),Drama,"Martin Scorsese, Tom Hanks, Meryl Streep",6.6
298,Pushing Hands (Tui shou) (1992),Drama,Johnny Depp,9.1
299,Priest (1994),Drama,Jennifer Lawrence,4.0
300,Quiz Show (1994),Drama,Scarlett Johansson,6.1
301,Picture Bride (Bijo photo) (1994),Drama|Romance,"Audrey Hepburn, Angelina Jolie, Brad Pitt",8.7
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,"Brad Pitt, Steven Spielberg, Martin Scorsese",5.7
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,Steven Spielberg,9.9
304,Roommates (1995),Comedy|Drama,"Denzel Washington, Martin Scorsese",4.5
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,"Morgan Freeman, Emma Watson, Meryl Streep",9.8
